Title,Rating,Votes,Duration,Genre
Conclave,7.4, 163K,2h,thriller
Babygirl,5.9, 54K,1h 54m,thriller
The Order,6.8, 44K,1h 56m,thriller
Twisters,6.5, 169K,2h 2m,thriller
Heretic,7, 140K,1h 51m,thriller
Kraven the Hunter,5.5, 56K,2h 7m,thriller
Speak No Evil,6.8, 100K,1h 50m,thriller
Trap,5.8, 139K,1h 45m,thriller
Alien: Romulus,7.1, 245K,1h 59m,thriller
Smile 2,6.7, 106K,2h 7m,thriller
Civil War,7, 238K,1h 49m,thriller
The Shrouds,6.1, 1.6K,1h 59m,thriller
The Surfer,6.5,759,1h 40m,thriller
Venom: The Last Dance,6, 118K,1h 50m,thriller
Juror #2,7, 98K,1h 54m,thriller
Longlegs,6.6, 186K,1h 41m,thriller
Furiosa: A Mad Max Saga,7.5, 286K,2h 28m,thriller
Blink Twice,6.5, 106K,1h 42m,thriller
The Beekeeper,6.3, 157K,1h 45m,thriller
Carry-On,6.5, 166K,1h 59m,thriller
Eden,6.6, 1.5K,2h,thriller
The Count of Monte-Cristo,7.6, 35K,2h 58m,thriller
Presence,6.1, 22K,1h 24m,thriller
2073,5, 2.7K,1h 25m,thriller
Wolfs,6.5, 83K,1h 48m,thriller
Dead Mail,6, 1.1K,1h 46m,thriller
Borderlands,4.7, 48K,1h 41m,thriller
Rebel Ridge,6.8, 88K,2h 11m,thriller
Subservience,5.4, 28K,1h 46m,thriller
Abigail,6.6, 97K,1h 49m,thriller
Armor,3.6, 4.1K,1h 29m,thriller
The Rule of Jenny Pen,6.2, 4.2K,1h 44m,thriller
Madame Web,4, 101K,1h 56m,thriller
Joker: Folie à Deux,5.2, 161K,2h 18m,thriller
Love Lies Bleeding,6.6, 57K,1h 44m,thriller
Oddity,6.7, 43K,1h 38m,thriller
In a Violent Nature,5.6, 26K,1h 34m,thriller
Road House,6.2, 168K,2h 1m,thriller
The Crow,4.7, 35K,1h 51m,thriller
5-Sep,7.1, 24K,1h 35m,thriller
Emilia Pérez,5.4, 88K,2h 12m,thriller
A Quiet Place: Day One,6.3, 150K,1h 39m,thriller
Absolution,5.2, 8.2K,1h 52m,thriller
Bad Boys: Ride or Die,6.5, 100K,1h 55m,thriller
Caddo Lake,6.8, 43K,1h 43m,thriller
Magpie,6.2, 3.2K,1h 30m,thriller
Bring Them Down,6.5, 3.2K,1h 46m,thriller
The Union,5.4, 53K,1h 47m,thriller
Lucky Baskhar,8, 32K,2h 28m,thriller
Argylle,5.6, 93K,2h 19m,thriller
Elevation,5.6, 22K,1h 31m,thriller
Kingdom of the Planet of the Apes,6.9, 152K,2h 25m,thriller
It's What's Inside,6.6, 42K,1h 43m,thriller
Pushpa: The Rule - Part 2,6.1, 56K,3h 21m,thriller
Never Let Go,5.4, 15K,1h 41m,thriller
Godzilla x Kong: The New Empire,6, 122K,1h 55m,thriller
Ask Me What You Want,3.9,789,1h 54m,thriller
A Different Man,6.9, 29K,1h 52m,thriller
Darkest Miriam,5.9,203,1h 27m,thriller
The Watchers,5.7, 57K,1h 42m,thriller
Don't Move,5.8, 39K,1h 32m,thriller
Die Alone,5.7, 3.2K,1h 30m,thriller
Immaculate,5.8, 53K,1h 29m,thriller
Monkey Man,6.8, 92K,2h 1m,thriller
Succubus,4.6, 1.3K,1h 43m,thriller
Homestead,5.3, 3.6K,1h 52m,thriller
The Instigators,6.2, 38K,1h 41m,thriller
The Painted,4.8,712,1h 25m,thriller
Drive-Away Dolls,5.4, 23K,1h 24m,thriller
Lift,5.5, 49K,1h 47m,thriller
Survive,4.5, 2.6K,1h 30m,thriller
MadS,6.4, 7.8K,1h 29m,thriller
Drive Back,4.7,431,1h 34m,thriller
Land of Bad,6.6, 51K,1h 53m,thriller
Logout,7.2,698,1h 48m,thriller
Cuckoo,5.7, 26K,1h 42m,thriller
Hellboy: The Crooked Man,4.5, 14K,1h 39m,thriller
Distant,5.7, 3.2K,1h 27m,thriller
Beverly Hills Cop: Axel F,6.4, 81K,1h 58m,thriller
The Seed of the Sacred Fig,7.6, 14K,2h 47m,thriller
The Killer's Game,5.8, 17K,1h 44m,thriller
Salem's Lot,5.6, 33K,1h 54m,thriller
The Luckiest Man in America,6.7,514,1h 31m,thriller
The Corpse Washer,6.2, 1.2K,1h 47m,thriller
Werewolves,4.4, 6.7K,1h 33m,thriller
Miller's Girl,5.2, 23K,1h 33m,thriller
Under Paris,5.2, 36K,1h 44m,thriller
Apartment 7A,5.9, 16K,1h 47m,thriller
The Killer,5.7, 13K,2h 6m,thriller
Sugar Baby,4,335,1h 28m,thriller
The Deliverance,5.1, 22K,1h 52m,thriller
Maharaja,8.4, 67K,2h 21m,thriller
Sleeping Dogs,6.2, 22K,1h 50m,thriller
Aftermath,5.1, 4.1K,1h 37m,thriller
Dirty Angels,4.3, 3.5K,1h 44m,thriller
F*** Marry Kill,5.3, 2.5K,1h 37m,thriller
Black Dog,7.2, 3K,1h 56m,thriller
11 Rebels,6.2,443,2h 35m,thriller
Mothers' Instinct,6.3, 21K,1h 34m,thriller
Classified,3.7, 2.6K,1h 45m,thriller
La cocina,7.1, 2.9K,2h 19m,thriller
Atlas,5.6, 56K,1h 58m,thriller
Arcadian,5.5, 23K,1h 32m,thriller
Trigger Warning,4.6, 19K,1h 46m,thriller
Time Cut,5, 19K,1h 31m,thriller
Lake George,6.4, 1.2K,1h 58m,thriller
Exhuma,6.9, 23K,2h 14m,thriller
Santosh,7.1, 2.1K,2h 8m,thriller
Slingshot,5.7, 9.6K,1h 48m,thriller
